"","g__Turicibacter","g__Parabacteroides","g__[Ruminococcus]","g__Sutterella","f__Peptostreptococcaceae_g__","g__Ruminococcus","g__Veillonella","g__Bacteroides","g__Eggerthella","g__Faecalibacterium","g__Coprococcus","f__Lachnospiraceae_g__","g__Neisseria","g__Haemophilus","g__Blautia","f__Enterobacteriaceae_g__","g__Klebsiella","g__Dorea","g__Dialister","g__Anaerostipes","g__Phascolarctobacterium","g__Staphylococcus","g__Actinomyces","f__Gemellaceae_g__","g__Akkermansia","g__Oscillospira","o__Lactobacillales_g__","g__Adlercreutzia","g__Odoribacter","f__Clostridiaceae_g__","g__Prevotella","g__Roseburia","g__Lachnospira","o__Clostridiales_g__","g__Granulicatella","f__Erysipelotrichaceae_g__","f__Ruminococcaceae_g__","g__Clostridium","g__Streptococcus","g__Aggregatibacter","g__Fusobacterium","g__Conchiformibius","g__Bifidobacterium","g__Collinsella","g__Holdemania","g__[Eubacterium]","f__Rikenellaceae_g__","g__Bilophila"
"1939.SKBTI.0598",0,319,107,322,5,44,76,2146,0,0,0,162,0,82,18,237,0,2,216,0,0,15,14,29,1139,26,11,0,37,7,0,0,0,13,53,3,58,0,211,0,2,0,0,0,0,28,114,0
"1939.SKBTI.0599",1,3004,1787,1240,47,163,23,20579,0,3205,294,2738,0,1070,581,5137,0,277,2,1,0,1,9,1,0,664,0,0,960,51,3323,1364,350,1336,6,0,1722,12,49,0,0,0,410,137,57,6,4118,388
"1939.SKBTI.0626",47,1064,609,497,88,106,60,13202,4,2463,88,1187,0,65,289,3058,0,172,0,0,209,0,8,5,0,329,0,0,51,34,0,272,24,889,21,272,465,0,73,0,22,5,57,92,23,15,381,71
"1939.SKBTI.0633",0,2824,656,1673,32,810,4,17168,14,239,1013,8174,2,49,708,62,0,70,4431,0,0,1,0,0,0,863,0,0,826,2,2,4147,33,1665,0,209,2515,11,14,1,25,0,1,1,156,378,6153,497
"1939.100176",83,1,706,22,1942,36,1786,84,0,4864,1,20696,0,1,18304,1150,2,882,958,0,0,0,103,53,0,32,634,0,0,670,6,2852,0,160,363,12289,3536,1,8600,0,1698,0,3,1,0,10,0,0
"1939.SKBTI.0658",20,1575,455,699,117,354,6,7705,0,951,126,963,0,87,397,18,0,46,1,29,0,1,2,0,992,38,0,0,40,163,6,1077,51,605,0,13,497,5,15,0,7,0,88,55,8,36,610,191
"1939.SKBTI.0662",0,264,495,1386,1157,7,65,5207,0,5654,46,1895,0,1482,470,90,0,78,0,0,54,1,1,2,0,51,0,0,25,273,0,121,0,632,14,376,489,0,23,0,3,0,4,0,11,34,200,0
"1939.SKBTI.0570",0,340,119,4,0,12,9,5763,2,327,4,242,0,438,7,157,0,23,1,9,175,1,0,7,0,74,0,0,42,7,0,279,84,248,0,19,194,0,55,7,14,0,0,0,17,9,569,51
"1939.SKBTI.0642",0,1,2,53,0,0,0,4,0,4,0,12,0,700,0,8839,59,0,0,0,0,0,0,9,0,0,9,0,0,0,0,1,0,1,39,0,4,0,26,9,0,60,1,0,0,0,3,0
"1939.SKBTI.0648",0,2486,840,3713,76,15,1,15285,2,1534,44,2006,0,12,360,983,0,194,0,0,0,0,6,4,0,33,0,0,0,225,523,49,0,420,3,1515,262,43,29,4,3,0,193,157,0,22,15,70
"1939.SKBTI.0651",0,409,1108,1,0,149,155,3909,10,1238,43,1358,0,137,109,48,0,24,1,1,0,2,1,0,0,70,0,0,0,0,0,0,0,69,12,1218,243,0,33,0,15,1,0,2,0,301,165,500
"1939.SKBTI.0654",0,3427,710,239,17,10,4,13524,25,8096,14,1852,0,2098,242,9,0,554,3,0,0,5,0,3,0,114,0,0,1,3,0,0,0,847,1,1578,321,0,13,0,4,1,0,0,3,34,0,0
"1939.SKBTI.0572",0,371,116,624,3,5,11,5520,0,991,42,590,0,15,100,581,1,15,1,0,97,0,1,4,7,254,2,0,37,1,2886,547,0,80,5,21,99,2,13,0,1,0,14,3,11,5,199,15
"1939.100190",1,2,1848,162,12,176,63,150,29,1449,602,2643,0,2,2729,28,16,817,301,0,4,0,26,0,0,11,0,16,0,8,1,191,0,567,13,82,807,151,2192,1,0,0,4314,2857,4,10,18,2
"1939.100197",32,2741,396,2099,171,40,920,7116,27,12001,598,4644,2,1823,2015,89,1,237,106,0,594,6,9,47,0,1054,0,0,0,67,15274,1628,1325,1364,12,248,1345,22,3315,48,0,1,1326,0,81,95,1511,0
"1939.100187",2,147,32,6,3,9,0,69,0,56,4,45,0,1,31,62,2,11,17,1,7,20362,170,154,0,5,0,0,0,1,13,12,4,30,144,3,40,4,1128,1,0,0,22,0,0,4,6,0
"1939.100192",0,3,16451,1,5,1204,17,21645,595,26,1,13386,0,12,6683,1497,0,5,82,0,0,1,152,10,0,21,508,0,0,3,4,4,0,1897,18,1843,262,0,372,0,1,0,5431,0,0,6395,0,0
"1939.100205",0,382,1217,0,29,1178,1,17688,0,154,2788,5092,0,2,7472,135,2,2019,0,0,309,2,98,19,0,712,2,0,0,1,1,18,41,2496,42,19,4812,0,1807,0,0,0,3955,2199,0,75,1,0
"1939.100198",3,990,183,1,142,1001,25,8960,2,1332,63,867,0,1,314,17,0,59,1442,12,0,9,2,2,205,193,1,96,0,66,1,1,0,183,1,227,3586,7,30,0,1,0,1,0,0,152,845,0
"1939.100195",7,7,909,2,69,1777,2,63,1,408,1010,2034,0,2,1531,5,0,658,11,4,3,10,15,7,18,238,0,75,0,112,39,205,45,1171,6,267,453,40,947,0,1,0,152,1463,9,9,10,2
"1939.100200",105,3738,2520,668,368,2160,25,4919,6,12811,380,2876,0,106,3821,83,1,3094,3,0,7,10,8,35,0,506,0,27,0,79,16693,5,1835,1162,22,146,2569,0,304,0,0,0,771,348,61,56,1,148
"1939.100207",227,1380,1688,257,1071,10722,0,14368,17,4136,2308,5676,0,9,3978,34,20,1710,5,4,0,2,25,0,0,1236,0,321,50,716,5,216,2,1671,0,153,5147,179,53,1,2,1,11638,1621,47,109,1118,1440
"1939.120153",6,410,700,645,1,2479,24,3056,72,6180,1348,8662,1,19,2558,4,1,444,2,185,165,2,21,1,0,271,0,45,20,1,1,401,602,4409,5,245,5000,736,1080,1,0,0,2714,586,33,10,286,133
"1939.100212",0,1,780,1974,166,207,93,23485,32,12551,3720,5330,0,323,4746,10,4721,582,4,2,1023,0,4,5,0,672,0,99,99,28,6,8110,1629,2938,24,741,4369,1,1254,2,2,0,8,127,58,14,1911,0
"1939.100217",0,10,5031,2,111,1833,0,62,362,45,3720,2156,0,1,1364,701,3,864,3,0,9,4,80,52,0,58,5,385,0,34,1,23,0,1015,27,1632,6478,16,5017,1,0,0,3111,1817,29,357,17,0
"1939.100234",13,0,660,0,13,0,0,48,2,1960,105,796,0,0,1115,0,0,246,0,0,0,0,2,4,0,2,0,0,0,4,51,42,0,224,7,1611,335,0,46,0,0,0,1760,504,1,2,0,5
"1939.SKBTI082.a",0,308,29,855,0,6,129,4038,2,478,39,180,0,566,1,443,1,30,476,0,0,3,0,19,0,250,0,0,198,0,0,0,0,95,0,0,114,3,10,23,462,0,0,6,0,1,46,0
"1939.SKBTI066.a",0,34,71,36,14,1,36,1124,0,317,3,166,3,609,4,2893,1,19,2,0,1,1,0,3,0,1,0,0,0,17,0,2,0,11,0,70,43,3,21,978,39,3,12,1,1,0,2,13
"1939.SKBTI062.a",3,15,113,156,61,6,38,411,0,254,0,159,4,262,46,4459,0,41,5,0,2,0,13,71,14,38,0,0,3,19,0,0,1,53,37,72,126,0,241,9,6,0,10,6,0,22,3,6
"1939.MGH104690",0,43,3397,101,0,40,6,3101,0,1,68,666,12,238,31,10,0,671,0,0,15,0,1,42,0,0,92,0,0,0,1,1,0,64,6,1177,2,0,130,24,13,0,142,0,0,4,0,0
"1939.MGH102965",0,0,783,0,5,39,3,2,1,492,9,438,0,76,16,2133,0,3,1,0,0,0,1,1,0,1,0,0,0,11,0,11,35,9,0,345,525,0,3,0,0,0,0,1,1,34,1,0
"1939.MGH102386",66,0,457,13,1,21,118,84,0,876,100,1195,4,606,73,658,0,40,0,1,0,0,12,24,0,6,0,0,0,1,0,63,4,34,12,0,311,1,220,35,20,1,148,99,0,7,5,0
"1939.100060",5,1496,581,774,135,4,6,10917,27,5235,10,2190,0,254,49,57,0,1,3,2,0,1,7,5,0,519,2,2,0,65,0,1,1,84,5,79,4442,1,130,0,0,0,7,1,0,23,157,0
"1939.100072",205,387,1251,2,417,75,322,6896,238,7543,999,3479,0,804,8971,235,0,1001,2638,0,0,0,17,4,0,237,3,0,0,39,0,1901,18,713,19,272,2920,2,456,0,0,0,3904,0,15,1192,637,0
"1939.MGH105658",0,0,891,294,1,2482,5,10154,31,6301,1229,3254,0,2,332,2,0,55,0,0,0,0,0,0,0,655,0,0,0,1,0,303,358,4944,3,22,1800,157,83,0,0,0,2,0,36,35,5317,0
"1939.MGH100748",0,0,1639,0,11,40,49,2057,0,1,0,1170,2,25,169,1731,0,50,302,0,0,30,1,24,0,20,0,0,0,4,0,0,0,14,0,359,176,0,8,0,16,0,0,0,0,15,0,0
"1939.100001",76,807,4150,96,660,1158,0,5949,445,664,578,1254,0,1,4008,264,3,1856,2,0,194,0,6,4,0,2527,3311,39,0,43,0,1,0,948,7,283,1519,0,282,0,0,0,3,1600,61,395,0,0
"1939.100003",13,205,455,0,93,1110,1,3226,21,2817,66,1410,0,1,1244,1,0,75,1852,0,0,0,0,0,0,151,1,151,5,3,0,298,36,1150,2,83,486,21,109,0,0,0,2672,1,2,47,0,113
"1939.100015",26,478,1397,59,41,775,0,12890,48,1490,1522,2401,0,6,1510,24,0,425,0,34,0,0,10,1,2,1192,0,572,107,421,0,78,0,1355,1,438,3947,413,398,0,0,2,3,1120,68,125,59,166
"1939.100046",0,161,1260,0,156,1194,116,1147,199,4,1305,1414,0,0,5455,7,0,1244,77,0,1,0,69,42,0,510,0,0,12,14,0,628,1,3047,49,76,2774,8,5468,0,1,0,2,295,0,131,26,0
"1939.100075",11,0,6112,1,789,92,332,4223,0,0,3,1841,0,20,2,7755,4,836,0,0,0,2,26,8,0,215,131,0,0,493,0,0,0,1812,3,2600,450,78,178,107,3,55,694,0,0,2714,0,0
"1939.100077",1,250,494,324,9,752,2,3649,17,4214,933,3338,0,4,5166,0,0,0,2,17,96,1,10,2,0,1279,0,171,32,0,3259,3,1,2156,7,2214,3015,451,550,0,0,0,96,2,112,68,964,56
"1939.100083",275,2,425,454,1971,1767,47,9174,14,3868,2884,5312,0,35,1554,13,0,555,1536,211,0,0,4,0,0,933,2,211,133,346,1,262,96,1880,0,64,4395,1178,113,1,1,0,4678,222,23,148,2887,0
"1939.100085",8,1110,1105,890,316,121,1,7425,1,7610,906,6767,0,180,5590,4,1,325,2,64,743,0,2,2,0,62,0,0,48,103,0,1747,420,1536,4,143,1481,30,15,0,0,0,616,2,3,0,468,28
"1939.100092",2,78,1096,405,279,291,21,1002,3,6222,946,3098,0,64,4837,2,0,1311,4444,10,0,0,4,2,0,1058,0,218,0,21,0,254,622,1504,2,2618,6307,336,544,0,0,0,1533,1832,110,109,117,137
"1939.100100",1,70,5439,0,102,29,2,78,121,0,0,1261,0,0,1295,474,5,2085,0,0,1411,0,16,6,0,0,42,0,0,1,0,0,1,14,12,597,4,0,130,0,0,0,1,1,0,128,1,1
