"","Methanobrevibacter_smithii","Rothia_mucilaginosa","Bifidobacterium_adolescentis","Bifidobacterium_animalis","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_catenulatum","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Adlercreutzia_equolifaciens","Collinsella_aerofaciens","Eggerthella_lenta","Eggerthella_unclassified","Gordonibacter_pamelaeae","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_faecis","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_massiliensis","Bacteroides_ovatus","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Bacteroidales_bacterium_ph8","Barnesiella_intestinihominis","Odoribacter_splanchnicus","Parabacteroides_distasonis","Parabacteroides_merdae","Parabacteroides_unclassified","Paraprevotella_clara","Paraprevotella_unclassified","Prevotella_copri","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_onderdonkii","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Alistipes_unclassified","Enterococcus_faecalis","Enterococcus_faecium","Lactobacillus_casei_paracasei","Lactobacillus_fermentum","Lactobacillus_gasseri","Lactobacillus_rhamnosus","Pediococcus_acidilactici","Lactococcus_lactis","Streptococcus_australis","Streptococcus_mutans","Streptococcus_parasanguinis","Streptococcus_salivarius","Streptococcus_sanguinis","Streptococcus_thermophilus","Streptococcus_vestibularis","Butyricicoccus_pullicaecorum","Clostridiaceae_bacterium_JC118","Clostridium_asparagiforme","Clostridium_bolteae","Clostridium_clostridioforme","Clostridium_hathewayi","Clostridium_leptum","Clostridium_nexile","Clostridium_scindens","Clostridium_symbiosum","Clostridiales_bacterium_1_7_47FAA","Flavonifractor_plautii","Eubacterium_eligens","Eubacterium_hallii","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_siraeum","Eubacterium_sp_3_1_31","Eubacterium_ventriosum","Anaerostipes_caccae","Anaerostipes_hadrus","Anaerostipes_unclassified","Blautia_hansenii","Blautia_hydrogenotrophica","Blautia_producta","Ruminococcus_gnavus","Ruminococcus_obeum","Ruminococcus_torques","Coprococcus_catus","Coprococcus_comes","Dorea_formicigenerans","Dorea_longicatena","Dorea_unclassified","Lachnospiraceae_bacterium_1_1_57FAA","Lachnospiraceae_bacterium_1_4_56FAA","Lachnospiraceae_bacterium_2_1_58FAA","Lachnospiraceae_bacterium_3_1_46FAA","Lachnospiraceae_bacterium_3_1_57FAA_CT1","Lachnospiraceae_bacterium_4_1_37FAA","Lachnospiraceae_bacterium_5_1_57FAA","Lachnospiraceae_bacterium_5_1_63FAA","Lachnospiraceae_bacterium_6_1_63FAA","Lachnospiraceae_bacterium_7_1_58FAA","Lachnospiraceae_bacterium_8_1_57FAA","Lachnospiraceae_bacterium_9_1_43BFAA","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Roseburia_unclassified","Oscillibacter_unclassified","Clostridium_bartlettii","Peptostreptococcaceae_noname_unclassified","Anaerotruncus_colihominis","Anaerotruncus_unclassified","Faecalibacterium_prausnitzii","Ruminococcaceae_bacterium_D16","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_lactaris","Ruminococcus_sp_5_1_39BFAA","Subdoligranulum_sp_4_3_54A2FAA","Subdoligranulum_unclassified","Coprobacillus_unclassified","Clostridium_ramosum","Erysipelotrichaceae_bacterium_21_3","Erysipelotrichaceae_bacterium_2_2_44A","Erysipelotrichaceae_bacterium_3_1_53","Erysipelotrichaceae_bacterium_5_2_54FAA","Erysipelotrichaceae_bacterium_6_1_45","Eubacterium_biforme","Eubacterium_dolichum","Holdemania_filiformis","Holdemania_unclassified","Turicibacter_unclassified","Acidaminococcus_unclassified","Dialister_invisus","Megasphaera_micronuciformis","Megasphaera_unclassified","Veillonella_atypica","Veillonella_dispar","Veillonella_parvula","Veillonella_unclassified","Burkholderiales_bacterium_1_1_47","Parasutterella_excrementihominis","Sutterella_wadsworthensis","Bilophila_unclassified","Bilophila_wadsworthia","Escherichia_coli","Escherichia_unclassified","Klebsiella_pneumoniae","Klebsiella_unclassified","Haemophilus_parainfluenzae","Akkermansia_muciniphila"
"PRISM|8129",0,4.46e-05,1.67e-05,0,0.118701,0,0,0,0.0679004,0,0,0,0.0092611,0.0086395,0.000303,0,0,0.010865,0,0,0.0048242,0,0,7.5e-06,0,0,0.0106133,5e-06,0.0009975,0,0.0021065,0,6.6e-05,0.003092,0,0,0,0,0,0,0,0.0025442,0,0,0,0,0.00081,0,0,0,0.0026088,0,0,0.0001408,3.48e-05,0.0007788,0.0012358,0.0010574,0.0020832,3.62e-05,0.0015223,0.0005093,6.62e-05,0.0028563,7.43e-05,0,0,0.0102853,0,0.0012503,0,0,0.0040839,0.029215,0,0.265323,0,0,0,0,0.0064245,0,0,0,0,0.0059986,0.0092881,0.0078672,0.0084628,0.0084962,0.0230733,0.0031204,0,0.0009436,0.0022385,0,0,1.77e-05,0,3.15e-05,0.0033493,0,0.000402,0.0017836,0,0,0,0.0038496,0,0,7.4e-05,8.24e-05,1.03e-05,0.0001526,0.148843,0,0,0,0,0.138879,0,0.0141071,0.0019244,0.0008509,5.51e-05,0.0003049,0,0,2.47e-05,0,0,0.0001929,0.0003583,0,0,0.0238088,0,0,0,5.28e-05,0.0008108,0.000348,0,0,0,0,0,0.0003656,0,0,0,0.0090778,0
"PRISM|8226",0,0.0028929,4.74e-05,0,0.0358392,0,0,0.0144247,0.0517994,0,0,0,0,0.0019643,0,0,0.03263,0.0021228,0,0,0,0,0,0,0,0.130629,0,0.0247727,0,0,0,0,0.0282691,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76e-05,0,0.014162,0.0088331,0,0,0,0,0,0.0014422,5.23e-05,0,0.0032441,0.0185576,0,0,0,0.0003615,0.0044254,0.0015177,0,0,0,0.0363591,0.0023742,0.0003743,0,0,0,0.0006061,0,0,0,0,0,0,0,0,0,0.104825,0.0009259,0.0025874,0,0,0,0,0,0,0,0.0023288,0,0,0,0,0,0,0,0.0002746,0,0,0,0,0,0,0.0306146,0,0,0,9.48e-05,0,0,0,0,0,0,0.0001595,0.0035969,0.0008292,0,0.0005045,0,0,0,0,0,0,0,0,0,8.42e-05,0,0,1.44e-05,0,0.0476058,0.0242266,0,0,0,0.0139557,0.0001543,0.113342,0.0196249,0,0,0,1.08e-05
"PRISM|8244",0,0,2.63e-05,3.5e-06,8.4e-06,0,0,0,5.64e-05,0,0.0021086,0.0173682,0.0001339,0.0021651,0.0013141,2.11e-05,1.06e-05,6.42e-05,0,0,1.1e-05,0,1.35e-05,0.0540757,6.35e-05,5e-06,0.105092,0.0001036,0.0017015,1.09e-05,0,0,0,3.28e-05,0,0,0,8.12e-05,0.0042542,0,0.126415,6.14e-05,0,5.3e-06,0.0010225,0,0,0,0,0,0,0,0,0,0,0.000254,0.0005941,6.9e-06,2.47e-05,0,1.9e-06,9e-05,0.002643,0.0721694,0.0003716,0.000433,0.0102837,0.0001553,8.16e-05,0.0003741,0.0001918,0.0005251,3.35e-05,0.0008806,0.0032845,0.0573006,0.0008267,0.002901,0,0.0003058,0.0016284,0,5.59e-05,0.0003801,4.8e-05,0.0024913,0.0033926,0.0517753,0.0016257,0.0044717,0.0044153,2.43e-05,0,0.119775,0.0060178,7.02e-05,0.0065152,0.0001129,2.9e-06,0,0.0024623,0.0014941,0.001528,0,8.47e-05,0.0006909,0.0039613,0.0033466,0,0.0392225,0,4.42e-05,0.0016752,0.0005714,0.0173742,8.93e-05,4.73e-05,0,1.34e-05,0.0281184,0.0133543,0.134106,0.0067518,0.0012304,0.0001402,3.21e-05,0,2.5e-06,6.38e-05,0,0.0004752,0.0018052,0,0,1.64e-05,2.54e-05,0,0,0,0,0,7.4e-06,0.0016355,4.4e-06,0,0,0,9.33e-05,3.73e-05,2.26e-05,0,0,4.69e-05
"PRISM|8264",0,0.0006654,0.0001597,0,3.77e-05,0.0103959,0,0,0.0003887,0,0,0,0,5.18e-05,0,1.59e-05,0,0.0003099,0.0001516,0,0,0,0,3.6e-06,0,3.62e-05,0.0004796,0.0007495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36e-05,0.0028705,0.0106115,0,5.46e-05,4.36e-05,0,0,0.0002144,0,0,0.0031124,0.0059782,0,0.0003602,0.001118,0,0,0,0,6.2e-05,0,0,0,0,0,0,0,0.0055159,2.8e-05,0,0.0016964,0,0,0,0,0,0,0,0,0,0.0003725,0,0.00124,0,0,0,4.63e-05,0.0001992,0,0,2.32e-05,0,0,0.0023968,0,0,0,0,0,0,0,0.0001011,0,7.4e-06,0,0.0015257,0,0,0,0.0007563,0,0.0003069,0,0,0,0,0.0007647,0,0,0,0,0,0,0,0,0,0,0,0,7.28e-05,0.0005183,0.0001779,0,0.0053862,0.0033196,0.011159,0.0076939,0,0,0.0411796,0,0,0.618065,0.168745,0,0.0001675,0.0004647,0.0005345
"PRISM|8275",0,0,2.91e-05,3.2e-05,0.0642988,1.52e-05,0,0,0.0894851,0,0.0009136,0.132664,0.0018104,0.0060864,0.0002189,3.92e-05,4.8e-05,4.44e-05,0.0008015,0.0025935,5.5e-06,0.0025493,0.0184228,0.0010801,0.0174854,7.49e-05,0.0012712,0.0044415,3.3e-06,0.0015023,9.9e-06,0.000868,5.77e-05,0.001061,0.0003774,0,0,8.04e-05,0.0003143,0,0.0012943,0.0065483,7.85e-05,0.0006635,0,0,0,0,0,0,0,0,0,0,0.0001547,0.0022375,0.000578,0,0.0001054,0,0,0,0.0006714,0.0009384,0.0002832,0.0001147,0.000359,0.0006355,9.7e-06,3.58e-05,6.6e-06,0.0013345,5.96e-05,0.0008101,7.9e-06,0.0013178,0.0001283,0,0,2.21e-05,4.32e-05,0.0005996,0,0.0041176,1.8e-06,0.0136836,0.0021269,0.0151196,0,2.4e-06,0.0154599,0.0651854,0,0.0090148,0.0136247,1.04e-05,0.006483,0,1.8e-06,0.001062,0.0025628,0,0.0001642,0,0.0006207,2.22e-05,0.0008165,1.36e-05,0,0.0018983,0,0.0004919,2.2e-06,0,0.0006697,0,0.0528114,0,3e-06,0.0462751,0,0.0344836,0.0008818,0.0014639,0,0,0,0,7.62e-05,0,0,0.0006268,0,0,0,2.78e-05,0,0.082337,1.82e-05,0,8.51e-05,0.0001323,0,0,6.8e-06,0.0016863,3.5e-06,0.0045181,0,0.000104,0,0,0.0015457
"PRISM|8283",0,0,0.0309835,2.6e-06,0.0278148,0,0,0,0.0063774,0,0.004958,0.0263099,0.0002347,0.0010335,2.51e-05,0.0172754,5.5e-06,3.29e-05,0,0,0.0024752,0,1.22e-05,0.0067422,0.0398247,4.9e-06,0.0883559,0.0300473,0,2.2e-06,0.0396754,0.008355,1.69e-05,0.0138015,0,0,0,4.33e-05,0.007736,0,0.0147667,0.0721152,0,2e-06,0,0,0,0.0007218,0,0,0,0,0,1.04e-05,0,1.59e-05,0.0001535,0,0.0019715,0,0,0,3.8e-05,0.001228,3.42e-05,7.52e-05,0.0019517,1.41e-05,3.11e-05,6.26e-05,2.45e-05,0.0004235,0.0001069,0.0092668,9.09e-05,0.0961386,7.25e-05,0,0.0010596,0,0.0014219,0,0,0.0033449,3.56e-05,0.0050071,0.0071575,0.0106911,0.0058509,0.0104031,0.0036166,0.0215353,0,0.0036018,0.0002292,0.0002054,0.0005934,0.0001906,0,1.75e-05,0.0024681,0,0.0002604,0,0,0.0004693,0.0014445,0.0025528,0,0.0093991,0.0008642,0.0005128,0.0006674,2.63e-05,0.0258925,4.79e-05,0.0612816,0.004395,5.5e-06,0.0067421,0.0020529,0.0218456,2.8e-06,0,7.04e-05,0.0001267,8.84e-05,0,0.0001261,0,0,0.0002813,1.21e-05,4.39e-05,0.0264308,1.19e-05,0,0,2.3e-06,0,0,4.6e-06,0.001086,0,2.9e-06,0,0,0.0001939,0.0001475,0,2.59e-05,0,0.171767
"PRISM|8332",0,6e-07,1.49e-05,2.6e-06,1.11e-05,0,0,6.75e-05,4.12e-05,0,0.002436,0.0178535,1.9e-06,0.0003108,0.0001801,6.8e-06,0.0191244,4.25e-05,0,0.0007524,0,0,0.0099404,0.00286,5.42e-05,1.5e-05,0.0001331,0.0546243,1.39e-05,0.0200178,0.008055,0.0024711,1.24e-05,0.0186757,0,0,0,3.95e-05,0.0020008,0,0.0183201,0.0162156,0,0.0227547,0,0,0,0,0,0,0,0,0,0,0.0001079,0.0005675,0.0048664,1.97e-05,2.03e-05,3.22e-05,0,2.58e-05,2.55e-05,6.39e-05,0,0,0.0008354,2.49e-05,6.96e-05,8.89e-05,3.9e-06,0.0001974,0.0064167,0.0122919,0.0009446,0.20932,0.0788941,5.19e-05,0.0032942,1.97e-05,5.57e-05,0,0,0.0065952,0,0.000218,0.0226898,0.0106358,0.00471,0.0052344,0.0066883,0.0082866,0,0.0001567,3.49e-05,3.26e-05,0.0001043,2.72e-05,0,0.0005933,0.000191,0,0.0015362,0,6e-07,0.0085731,0.0028609,0.0021939,0,0.0205445,0.0003308,0.0019962,0.0001783,0.0001807,0.0720169,0.0001326,0.109986,0,6.8e-06,0.0083226,0.0016729,0.050964,3e-06,0,2.82e-05,1.48e-05,0,0,0.0001355,0.0051263,0,0.0001778,9.1e-06,4.64e-05,0.0283672,0.0127387,0,0.001364,0,0,2.2e-06,1.04e-05,0.0013567,0.0018041,0,0.004463,0.0005054,0.0004228,0,0,4.14e-05,0,0.0481403
"PRISM|8336",0,0.0002541,2.99e-05,0,0,0,0,0,2.78e-05,0,0,0,0,0,0,0,0,3.16e-05,0,0,0,0,0,2.4e-06,0,0,1.1e-06,8.94e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251163,2.94e-05,0.0565088,0.62792,0,0.0027898,0.0002017,0,0,0.0075649,4.24e-05,0,0.0015227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001012,0,0,0,0,0,0,0,0,0,4.14e-05,0,0,0,0,0,0,8.5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59e-05,0,2.89e-05,0,0,0,0,4.27e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.18e-05,8.91e-05,0,0,0,0,2.5e-06,1.53e-05,0,0,0,0,0,8.52e-05,8.42e-05,0,0,1.6e-06,2.01e-05
"PRISM|8361",0,0,6.77e-05,0,0.186299,0,0,3.62e-05,4.85e-05,0.0315534,0,0,0.0053556,0.0234674,0,0,0,0.0030081,0,0,0,0,0,0.0039416,0,0,0,0.0041421,5.28e-05,0,0,0,0,0.0086701,0,0.0001383,0.0004327,0,4.2e-06,0,0.00408,0.0229379,0,0,0,1.24e-05,4.15e-05,0,0,1.96e-05,0,0.0002206,0.0007761,0,0,0.0011115,0.0009498,3.08e-05,0.0053227,0,0,0.0001094,1.76e-05,0.0001441,3.56e-05,0,0.0011337,0,0,8.89e-05,8.03e-05,0.0042122,0,0,0,0.35716,0,0.0002579,0,0.0037749,0,0.0002532,0,0,5.55e-05,0.0128227,0.0004367,0.0111252,0,0,0,0.098996,0,0.0030015,0.0055401,5.61e-05,0,0.0001484,0.0001209,0,0,2.2e-06,0.0004682,0,4.7e-05,0,0.0031889,8.8e-06,0,0.0019765,0.001928,0,0,0,5.76e-05,0,1.62e-05,0,0,0.0896316,0,0.0044101,0.0028528,0.0003508,6.43e-05,3.17e-05,0,0,0.0001197,0,0,0.0002581,0.000351,0,2.09e-05,0.0184763,0,0,4.2e-06,0,6.1e-06,5.46e-05,0,3.73e-05,0,0.0018977,0.0002993,0.0001066,0,0,0,0,2.2e-05
"PRISM|8374",0,0,2.75e-05,0,0,0,0,0,1.3e-05,0,0,0.039798,0.0003625,0.0027436,5.53e-05,0,0,0.0243253,0,0,0,0.0080211,0,0.0264866,0,0,0.0376387,0.0001128,0.0085501,0,0,0,0,0,0.019944,0,0,0.0008941,0,0.0151509,0,0,0,0,0,2.59e-05,0.0007384,0,0.0001163,0.0018562,0,0.0001641,0,0,2.46e-05,0.0002625,0.0001261,0,6.03e-05,0,0,0,0.0006746,0.0544945,0.0007405,0.0007897,0.002226,0,0.0001299,0.0016563,0.0001967,0.0061671,0,0,0,0.0001801,0,0,0,0.0036789,0,0.0074744,0,0,0.0002423,0.0872806,0,0.013626,0,0.0403019,0,0,0.0136454,0,0,0.0123356,0,0.0005629,2.4e-06,0.0153335,0,9.1e-05,0.0008946,0,0.0002511,0,0,0,0,0.0057559,0.0010089,0,0.0038035,0,5.38e-05,1.27e-05,0,0,0,0,0.0050068,0.0148709,0.0030945,0.0018652,0.00193,0,0,0,0.0033848,0,0,0.0003139,0.0004306,0,4.07e-05,0.278123,0,0.0046798,0,0,0,4.99e-05,0.0023777,0.006333,0,0,0,0.0021795,0,0,0,0,0.0450019
"PRISM|8377",0,0,6.82e-05,0,0,0,0,0,0.0484636,0,0.0009189,0,0.0156545,0.0359203,0.000374,0.0081333,0,0.0351062,0,0,0,0,0,0.0084241,0,0.0019786,0.0118324,6.43e-05,0.0004253,0.0001598,0,0,0.0024003,3e-06,0,5.14e-05,0.0002489,0,1.41e-05,0.0002222,5.76e-05,3.34e-05,0,0.001642,0,0.0001341,0.0063778,0,0,2.1e-05,0,0,0.0006812,0,0,0.0006237,0.0017493,4.5e-05,0.0013041,0.0002022,0,0,4.18e-05,0.0012053,0.0009149,9.28e-05,0.0091129,0,3e-06,0.0056363,6.11e-05,0,0,1.13e-05,0,0.0002704,0,0,0,6.61e-05,0.0001348,0.0007646,0,0,0.000128,0.130808,0.0001402,0.0333656,0,0.130869,0.0203943,1.33e-05,0,0.0048607,0,0.0116239,0.0038171,0.0005301,0,6.52e-05,0.0013658,0,0.0001084,0,0,0,0.0253479,0,0,0.0008018,0.0120338,0,0.0002138,0,0.0025831,0,0,0,0,0.178921,0.0030407,0.0264323,0.0899104,0.0134342,0.0021088,0.0002194,0.000575,0,0.0003542,0,0.0066733,0.0002993,0.000466,0.0003646,4.81e-05,0.0007912,0,0,1.71e-05,0,7.15e-05,0.0001027,0,0,0.0016075,0.0005464,4.26e-05,0.0480702,0.0061556,0,0,7.77e-05,0.0053774
"PRISM|8406",0,2.66e-05,1.44e-05,0.013347,0.0174271,0.0001009,0,0,4.52e-05,0,0,0.0777548,0.0002989,0.0041976,0,1.95e-05,1.32e-05,0.0013732,0,0,0,3.46e-05,0.0533327,4.99e-05,3.73e-05,0.0404283,0.0437065,6.44e-05,0,0,0,0,8.5e-06,1.79e-05,8.9e-06,0,0,2.48e-05,0,0,2.36e-05,3.22e-05,0,0,0,0.0042275,0,0.0011713,5.9e-05,0,0,5.99e-05,0.0002352,0.0001062,7.18e-05,0.0025969,0.0089174,4.23e-05,0.0053586,0.0003471,0,0,0.0007646,0.0049288,0.0006557,0.0006113,0.004195,9.5e-06,0.0002273,0.0002299,0.0003725,0.0009053,2.04e-05,0.0114769,0,0.332062,0.0132497,0,8e-07,1.63e-05,0,0.0009536,3.24e-05,0.0008973,0.0001713,0.0120201,0.0108651,0.0022337,0,0,0,0,0,0.0024753,0.0017042,0.0022099,2.1e-06,0.0001148,0.0002189,0.0006313,0,2.96e-05,0.0006637,0.002262,0.0001894,0,0.0453968,0,0,0.0077433,0.0011522,0.0002903,0.0005236,0,0.0002527,0,0.0248077,0,0.0017364,0.0680957,0.0023219,0.0113143,0.0004714,0.0002277,4.3e-06,0.0001187,0,0,7.99e-05,0,0,0,0,0.0003851,0.0629423,0.042609,0,0,0.0006892,7.36e-05,0.0002766,0.001435,0.0032734,0.0003723,0,0.007496,0.000755,0.0007287,0.0001946,0.0014977,0,0.0013621,2.35e-05
"PRISM|8441",0,0.0002778,0.0496452,0,0,0,2.2e-05,0,0.0069251,0.0092335,0.0039105,0.0127197,7.9e-05,0.0003975,0.0004907,0.002279,0,8.4e-06,0,0,2.2e-06,0.0502106,0,0.0001425,0.0003237,9.28e-05,0.0078985,0.0010177,0.0012295,0,0.0021905,0,2.79e-05,0,0,0,0,0,0.0001151,0.0001862,0.0053083,0.0038394,0,0.001475,0,0,0,0,0,0,0,0,0.0013813,0.0002301,0,0.0004138,0.0015878,0,6.67e-05,0.000193,0,0,0,0.0001285,0,4.07e-05,0.0002732,0,0,0.0004155,0,0,3.23e-05,0.0278558,0.0024786,0.0243805,0.0064673,1.11e-05,1.81e-05,0,0.0022486,0,0,0,0,0.0013975,0.0179812,0.0159989,0.0028189,0.0156767,0.0024639,0.0180089,0,0,0,0,0.0004814,3.79e-05,0,3.13e-05,8.24e-05,0,0.0002812,0,0,0.0019951,5.1e-05,0.0003817,0,0.0001342,6.33e-05,0,2.9e-05,4.1e-05,0.0111125,4.7e-06,0.0725209,0.0028737,0,0.0117226,0,0.0278882,0,0,3.51e-05,0.0001569,0,0,0.0001811,0,0,3.92e-05,5.6e-06,0.0003108,0,0,0,0,0,0,0,0,0,0,5.38e-05,0.0008519,1.54e-05,0.0015209,0,0,0,0,0.523176
"PRISM|8444",0.0406303,0,9.6e-06,0,0,0,0,0,0.0183029,0,0.0016331,0.022456,0,2.2e-05,0,0.0084402,0.0003095,0,0.0055964,0,0,0,0.0011505,0.0012886,0.0004753,0.0004248,0.0428312,0.0070372,0,0.0080154,0.0051105,0.0021375,0,0.0052187,0.0003601,0,0,0,0.0003022,0.001733,0.0008673,0.0108194,0.0007147,0.0005329,0,0,0,0,0,0,0,0,0,0.0002657,3.6e-05,0.0001651,0.0050734,0.0001741,0.0011867,0.0004463,0,2.44e-05,0,6.7e-06,4.9e-06,0,0.0001772,0,1.68e-05,0.0002372,0.0010759,0.0004972,0.0013215,0.015399,6.43e-05,0.0156543,2.17e-05,0,0.0009628,0,0.0141026,0,0,0,0,0.0001458,0.0207384,0.012832,0,0.0051334,0.0037483,0.0052701,0,0.0034182,0.0004222,0,0.0019775,0.0003514,0,0,0.0034732,0,0.0002891,0,0,0.0005567,0.0012406,0.0007202,0,0.0024005,0,0,9.52e-05,0.0004131,0.0308114,0.0006049,0.112287,0,0.0024026,0.0080676,0.0036367,0.0409732,0,5.1e-05,0,0,0,0,0,0,0,0.0004226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005341,0,0,0,0,0,0,0.342535
"PRISM|8447",0.000371,0,0.0401596,0,0,0,0,0,0.065596,0,0.0074972,0.106447,1.12e-05,0.0004433,4.61e-05,0.0012381,0.0003439,2.82e-05,0,0.0001023,0.000666,0,0,7.77e-05,0.0018352,0,0.0040331,0.0014084,7.06e-05,0.0046352,0.0007551,0,0.0010999,0.0001437,0.0015248,0,0,0,9.48e-05,3.46e-05,0.0047735,0.0117063,5.4e-06,0.0002951,0,0.0009365,0,0,0,0,0,0,0.0020618,0.0001101,0,1.64e-05,0.0001691,0.0001194,0.0038127,0,0,1.52e-05,1.53e-05,0,0,0,0.0111541,0,0,0,0,3.05e-05,0.0029403,0.0336851,0.0008329,0.0712522,0.0412137,0,0.014859,0,0.0001938,0,0,0.0009608,0,0,0.0140634,0.0023341,0.0040527,0.0002041,0.0129616,0.0122301,0,0.0002248,0,0,6.52e-05,0.000162,0,0,0.0013618,0,0.0006837,0.0031358,0,0.0044688,0.0002078,0.000538,0.0050531,0.0027966,0.0085631,0,0,0.0003675,0.0829865,0.0217218,0,0.0187638,0,0.0167447,0.0023097,0.174375,0,0,0.0001327,0.0002541,0,0,0.0001458,0,0.0002804,0.0008386,0,0.0005691,0.0300722,0.10632,0,0,0,0,0,0,0,0,0,4.97e-05,0,0,7.05e-05,0,0,0,0
"PRISM|8452",0,0.0037121,0.0016355,0,0,0,0,0,0.0029315,0,0,0.0004736,0,0,0,0,0,0.0016419,0,0,0,0,0,0,0,0,0.0039545,0.0060104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029361,0,0.0200167,0.372616,0,0,0,0,0.0121588,0,0.0560664,0,0.301629,0.0035556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002043,0,0.0098664,0,0,0,0,0,0,0,0,0,0.00224,0.0001136,0.0074401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010707,0,0,0,0,0,0.0069472,0,0.0055332,0,0,0,0,0.0091756,0,0,0,0,0,0,0,0,0,0,0,0,0.0016798,0.002748,0,0,0.0006218,0,0,0.001052,0,0,0,0,0,0.0019468,0.0177779,0,0,0,0.0042102
"PRISM|8458",0,0,9.6e-06,0,0,0.0529206,0,0,7.68e-05,0,0.0311985,0,0.0018303,0.0099115,0,0.0259189,0,0,0,3.5e-06,0,0,0,0.0008977,0.0310095,0.0113727,6.2e-06,0,3.62e-05,0,0,0,0,0,0,0,0,0.0241676,0.0016973,0,0.065066,0.0237219,0,0,0,0,0,0,0,0,0,0,0.0012452,0,0,0.0003017,0.0034919,0,0.0008197,0,0,0,0.0008246,0.006605,0.0019182,0.0024391,0.0024375,0.0003459,6.06e-05,0.0019601,0.0029646,0.0033997,0,0,0,0.0005281,0,0.0496805,0,0,0.0001235,0.0028865,0,0,0.0005827,0.0188491,0.0071864,0.0985609,0,0,0,0,0.0013196,0.0040576,0.0077767,0,0,0,0.0002687,0.0216876,0.0011068,0,0.0115227,0,0.0007363,0,0,0,0.0018468,0.0343571,0.0003828,0.0001264,0.000898,0,0.0002383,0.0308496,0,0,0,0.0783418,0.011025,0.0078146,0.0003091,0,0.0022747,0.0002401,0,0,0.0007445,0,0,0,0.001727,0,0.0702836,0,0,0.0525579,0,0,0,6.5e-06,0.001285,0.0016098,0,0.0016492,0.0001319,0.0040792,0.001329,0,0,0,0.0596574
"PRISM|8462",0,9.77e-05,2.96e-05,0,0,0,0,0.0007852,0.29967,0,0.025391,2.2e-05,0.0046996,0.0143241,0,0.0078105,0,0.0214081,0,0,0,0,0,0.0201572,0,0,0.0029848,9.83e-05,0.0019957,0,0,0,0,4.6e-06,0,0,0,0,0,0,0,0,0,0,0,0,5.93e-05,4.2e-06,0.0001232,1.16e-05,0,0,0.0006226,0.0012585,0.0031777,0.0139084,0.0532409,8.9e-06,0.0060015,0.0008634,0,0,5.3e-05,0.0006012,0.0047631,6.28e-05,0.0027497,0,7.35e-05,8.51e-05,4.15e-05,0.0006262,0,6.5e-06,0,0.0002712,0,0,0,0,0.0013673,0,0.0003664,0.0097308,0.0001985,0.0024424,0.002612,0.0702147,0,0.0254959,0.0024382,0.120573,0,0.0041868,0.0039821,0,0.0193273,0,0.0001897,0.001776,0.0037938,0.0001313,0.0004071,0,0.0001418,0.0006183,0.000129,0.0001214,0,0.0037858,4.28e-05,0.0007358,0,0,0.0451133,4.3e-06,0,0,0,0.0831277,0,0.004808,0.0014208,0.0003996,7.21e-05,3.45e-05,0,0,7.75e-05,0,0.000638,0.0001455,0,0,0.0507448,9.33e-05,0,0,1.1e-05,3.22e-05,0.0001708,0.0003487,0.0001404,5.47e-05,0.0018145,0,0,0.0009672,0.0009505,0,0,0.0002216,8.4e-05
